epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8073,2.47753,3.29564,2.63957,0.00167,0.5,0.00773,0.00367,2.25287,4.62991,2.99886,6e-05,6e-05,6e-05
2,20.3374,2.33639,3.18761,2.47921,0.00167,0.5,0.04133,0.02351,1.91946,5.12573,2.59972,0.000137228,0.000137228,0.000137228
3,30.5461,2.06705,3.14581,2.3992,0.0025,0.75,0.25956,0.03253,2.64154,5.44149,2.77821,0.000211288,0.000211288,0.000211288
4,40.4529,2.20672,3.11958,2.37332,0.00167,0.5,0.02415,0.00728,2.99337,6.12479,2.83682,0.00028218,0.00028218,0.00028218
5,50.7688,2.09662,2.83638,2.24474,0.00167,0.5,0.01303,0.00472,2.82788,5.63373,2.845,0.000349904,0.000349904,0.000349904
6,60.471,2.104,2.87425,2.20911,0.0025,0.75,0.03669,0.00612,3.02261,5.18623,3.25137,0.00041446,0.00041446,0.00041446
7,69.9829,2.01449,2.77229,2.13775,0.0025,0.75,0.06041,0.00972,3.04217,4.97246,3.35072,0.000475848,0.000475848,0.000475848
8,79.4472,2.04741,2.8078,2.16927,0.0025,0.75,0.02645,0.00481,3.17054,5.25329,3.06895,0.000534068,0.000534068,0.000534068
9,89.4889,2.11158,2.94782,2.27047,0.00167,0.5,0.00402,0.00083,3.52484,5.31595,3.66583,0.00058912,0.00058912,0.00058912
10,98.8824,1.99412,2.64906,2.16411,0.00167,0.5,0.00302,0.00108,3.45146,5.56387,3.60371,0.000641004,0.000641004,0.000641004
11,108.088,1.78712,2.85716,2.14366,0.00167,0.5,0.00546,0.00161,3.46456,4.90698,3.50241,0.00068972,0.00068972,0.00068972
12,117.637,1.92053,2.71979,2.10264,0.0025,0.75,0.02673,0.00416,3.06988,4.48581,3.26992,0.000735268,0.000735268,0.000735268
13,126.728,2.0054,2.67728,2.23059,0.0025,0.75,0.03123,0.00731,2.91145,4.5657,2.91217,0.000777648,0.000777648,0.000777648
14,135.722,1.7905,2.57824,2.04969,0.00167,0.5,0.14143,0.01838,3.41327,4.88191,3.68926,0.00081686,0.00081686,0.00081686
15,144.675,1.96259,2.57505,2.15492,0.00348,0.5,0.14173,0.02426,3.47314,5.22398,4.09747,0.000852904,0.000852904,0.000852904
